"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2019","15.665","15.645","15.765","15.645","0.47K","-0.04%"
"Apr 08, 2019","15.672","15.560","15.680","15.555","0.39K","3.87%"
"Apr 07, 2019","15.088","15.078","15.107","15.078","-","-2.90%"
"Apr 05, 2019","15.539","15.535","15.600","15.510","0.13K","0.05%"
"Apr 04, 2019","15.531","15.295","15.320","15.065","0.20K","-0.14%"
"Apr 03, 2019","15.553","15.535","15.535","15.515","0.27K","0.25%"
"Apr 02, 2019","15.514","15.400","15.400","15.400","0.00K","-0.22%"
"Apr 01, 2019","15.548","15.550","15.555","15.545","0.22K","2.88%"
"Mar 31, 2019","15.113","15.102","15.133","15.098","-","-2.85%"
"Mar 29, 2019","15.557","15.510","15.510","15.510","0.04K","0.93%"
"Mar 28, 2019","15.414","15.625","15.625","15.625","0.10K","-2.09%"
"Mar 27, 2019","15.743","15.630","15.650","15.455","0.72K","-0.91%"
"Mar 26, 2019","15.887","15.725","15.725","15.590","0.45K","-0.81%"
"Mar 25, 2019","16.016","15.615","15.765","15.580","0.01K","3.95%"
"Mar 24, 2019","15.408","15.438","15.447","15.408","-","-2.84%"
"Mar 22, 2019","15.858","15.880","15.880","15.880","0.01K","-0.22%"
"Mar 21, 2019","15.893","16.010","16.010","15.905","0.01K","0.74%"
"Mar 20, 2019","15.776","15.975","15.975","15.975","0.14K","-0.35%"
"Mar 19, 2019","15.832","15.865","15.865","15.865","0.12K","0.31%"
"Mar 18, 2019","15.783","15.450","15.595","15.450","0.11K","3.37%"
"Mar 17, 2019","15.268","15.287","15.310","15.268","-","-3.28%"
"Mar 15, 2019","15.786","15.660","15.660","15.660","0.00K","0.99%"
"Mar 14, 2019","15.632","15.725","15.740","15.725","0.02K","-1.82%"
"Mar 13, 2019","15.922","15.660","15.730","15.630","0.83K","0.28%"
"Mar 12, 2019","15.878","15.910","15.910","15.910","0.00K","0.88%"
"Mar 11, 2019","15.739","15.690","15.690","15.690","0.00K","2.61%"
"Mar 10, 2019","15.338","15.352","15.352","15.322","-","-3.00%"
"Mar 08, 2019","15.813","15.760","15.810","15.760","0.02K","2.01%"
"Mar 07, 2019","15.501","15.500","15.550","15.485","0.04K","-0.28%"
"Mar 06, 2019","15.544","15.585","15.585","15.545","0.06K","-0.17%"
"Mar 05, 2019","15.570","15.550","15.585","15.550","0.04K","-0.01%"
"Mar 04, 2019","15.571","15.690","15.750","15.560","0.06K","2.71%"
"Mar 03, 2019","15.160","15.300","15.300","15.117","-","-3.57%"
"Mar 01, 2019","15.722","16.040","16.060","15.695","0.07K","-2.32%"
"Feb 28, 2019","16.096","16.315","16.315","16.110","0.11K","-0.82%"
